state,zip,poverty_rate,median_income_household,percent_lower_education,percent_higher_education,percent_snap_participation,per_capita_income
MA,02176,0.040305458530237655,126854.0,0.227322206095791,0.772677793904209,0.06258085381630013,65038.0
MA,01701,0.05395627840821249,127000.0,0.20109322287227227,0.7989067771277277,0.08934707903780069,63262.0
MA,01721,0.04171858915316682,127106.0,0.17855365142572707,0.8214463485742729,0.07183414762973722,69216.0
MA,02045,0.03601820700573916,127112.0,0.22369997603642464,0.7763000239635753,0.08437158469945355,73136.0
MA,01982,0.04900376952073236,127137.0,0.15065626783336503,0.849343732166635,0.058109599117322545,62116.0
MA,02725,0.017921146953405017,127228.0,0.3366107576633892,0.6633892423366108,0.0413625304136253,90249.0
MA,02116,0.15134255492270138,127309.0,0.15598991172761664,0.8440100882723833,0.14342733188720175,124696.0
MA,02766,0.05887416078498881,127404.0,0.32398680490103676,0.6760131950989633,0.09652333028362306,52342.0
MA,02446,0.12299361825565655,127519.0,0.08695652173913043,0.9130434782608695,0.09122417856647719,85590.0
MA,01907,0.06648089171974522,127714.0,0.1806572602250402,0.8193427397749599,0.07138344914718889,75836.0
MA,01258,0.031914893617021274,127813.0,0.20606060606060606,0.793939393939394,0.023529411764705882,55275.0
MA,02021,0.05074066346755685,128341.0,0.16930709815639625,0.8306929018436038,0.1032344734938514,74606.0
MA,02333,0.039162112932604735,128679.0,0.3328696343402226,0.6671303656597775,0.11791518034086405,58078.0
MA,02322,0.029692470837751856,129487.0,0.4134296898524541,0.5865703101475459,0.18742655699177438,47100.0
MA,01756,0.0686936936936937,129837.0,0.21932234432234432,0.7806776556776557,0.10889205896338564,52395.0
MA,01474,0.09884332281808622,130156.0,0.4132132132132132,0.5867867867867868,0.10553410553410554,46643.0
MA,01880,0.04199977480013512,130419.0,0.2519261161596207,0.7480738838403793,0.05944087578033113,67048.0
MA,01523,0.031211498973305954,130444.0,0.2906419674225487,0.7093580325774513,0.12771739130434784,49297.0
MA,02130,0.12324090674656778,130533.0,0.16938120991070305,0.830618790089297,0.11601963409192324,72568.0
MA,02648,0.030872137895549268,131125.0,0.2542166579725265,0.7457833420274734,0.04617414248021108,53898.0
MA,02537,0.07297212652677733,131150.0,0.22473830378124332,0.7752616962187566,0.07029950083194675,62595.0
MA,01862,0.07538824454491842,131214.0,0.35364161849710984,0.6463583815028902,0.07746644690369672,49214.0
MA,02048,0.046714039439936086,131409.0,0.24334191154467652,0.7566580884553235,0.10233853006681515,61744.0
MA,02066,0.02298602492850591,131889.0,0.13332342449464923,0.8666765755053508,0.05732316592164081,83964.0
MA,02110,0.1480530594779632,132239.0,0.04898828541001065,0.9510117145899893,0.06693877551020408,151501.0
MA,01612,0.01372055796935742,133750.0,0.21695533272561532,0.7830446672743847,0.047764849969381504,54061.0
MA,02556,0.030829353017802867,133929.0,0.09541577825159915,0.9045842217484008,0.05422794117647059,70101.0
MA,01845,0.0741583562010575,134319.0,0.20586105344469657,0.7941389465553035,0.0732575297283222,65004.0
MA,01581,0.04568165596002855,134474.0,0.18347761895174822,0.8165223810482518,0.05034097954122753,68311.0
MA,01534,0.028980446927374302,134539.0,0.3331133113311331,0.6668866886688669,0.0847528043207312,62236.0
MA,01760,0.04575,134644.0,0.16470588235294117,0.8352941176470589,0.07598645656986587,76455.0
MA,02114,0.11279422046143091,135057.0,0.08167789240344446,0.9183221075965555,0.0985985985985986,112365.0
MA,01834,0.03174132304954019,135521.0,0.27315096251266463,0.7268490374873353,0.0688622754491018,62387.0
MA,01566,0.018543046357615896,135802.0,0.23832312404287903,0.761676875957121,0.07112068965517242,58696.0
MA,01564,0.024898887765419615,136027.0,0.23227899432278995,0.76772100567721,0.0651842826682912,69535.0
MA,01545,0.03893713545042126,136225.0,0.1768840874616153,0.8231159125383847,0.06541218637992832,67401.0
MA,01863,0.031348621922996,136284.0,0.2255584566289527,0.7744415433710473,0.100606394707828,54802.0
MA,02140,0.1048169197801174,136382.0,0.11802350624576949,0.8819764937542305,0.11016949152542373,84932.0
MA,02715,0.041988950276243095,137500.0,0.32790294627383015,0.6720970537261698,0.045706371191135735,58152.0
MA,02630,0.0010678056593699946,137875.0,0.0746349378042185,0.9253650621957815,0.01527614571092832,60845.0
